GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED,,Statement Cov,Branch Cov,CC
JFreeChart,org.jfree.data.statistics,BoxAndWhiskerItem,50,166,10,14,11,38,11,14,1,12,,0.768518519,0.583333333,25
JFreeChart,org.jfree.data.statistics,Regression,526,432,50,12,82,92,30,8,3,4,,0.450939457,0.193548387,38
JFreeChart,org.jfree.chart.block,RectangleConstraint,27,313,6,22,4,62,7,27,1,19,,0.920588235,0.785714286,34
JFreeChart,org.jfree.chart.block,ColorBlock,47,52,1,5,13,19,5,6,4,4,,0.525252525,0.833333333,11
JFreeChart,org.jfree.chart.block,BorderArrangement,157,1258,30,96,27,204,27,47,1,10,,0.889045936,0.761904762,74
JFreeChart,org.jfree.chart.block,EmptyBlock,17,28,0,0,5,8,2,3,2,3,,0.622222222,#DIV/0!,5
JFreeChart,org.jfree.chart.block,LengthConstraintType,9,39,0,0,0,4,2,2,2,2,,0.8125,#DIV/0!,4
JFreeChart,org.jfree.chart.block,GridArrangement,63,587,15,59,20,126,15,36,1,13,,0.903076923,0.797297297,51
JFreeChart,org.jfree.chart.block,LabelBlock,116,213,11,17,30,63,18,19,11,12,,0.647416413,0.607142857,37
JFreeChart,org.jfree.chart.block,BlockBorder,73,142,6,10,15,41,9,11,3,9,,0.660465116,0.625,20
JFreeChart,org.jfree.chart.block,ColumnArrangement,422,64,50,12,89,23,32,10,7,4,,0.131687243,0.193548387,42
JFreeChart,org.jfree.chart.block,BlockParams,14,19,0,0,6,8,4,3,4,3,,0.575757576,#DIV/0!,7
JFreeChart,org.jfree.chart.block,FlowArrangement,179,368,30,34,38,85,25,21,4,10,,0.672760512,0.53125,46
JFreeChart,org.jfree.chart.block,LineBorder,157,95,13,9,37,29,11,9,4,5,,0.376984127,0.409090909,20
JFreeChart,org.jfree.chart.block,BlockContainer,14,205,3,19,5,62,5,20,2,12,,0.936073059,0.863636364,25
JFreeChart,org.jfree.chart.block,AbstractBlock,81,412,4,30,16,120,12,42,8,29,,0.835699797,0.882352941,54
JFreeChart,org.jfree.chart.block,CenterArrangement,255,53,34,2,58,13,27,4,9,4,,0.172077922,0.055555556,31
JFreeChart,org.jfree.chart.block,BlockResult,0,13,0,0,0,6,0,3,0,3,,1,#DIV/0!,3
JFreeChart,org.jfree.chart.plot.dial,StandardDialRange,173,216,11,13,43,54,21,13,12,10,,0.555269923,0.541666667,34
JFreeChart,org.jfree.chart.plot.dial,StandardDialScale,422,559,29,41,95,142,46,38,27,22,,0.569826707,0.585714286,84
JFreeChart,org.jfree.chart.plot.dial,DialPointer.Pin,66,111,2,6,16,34,5,10,3,8,,0.627118644,0.75,15
JFreeChart,org.jfree.chart.plot.dial,StandardDialFrame,102,194,2,12,24,53,9,15,7,10,,0.655405405,0.857142857,24
JFreeChart,org.jfree.chart.plot.dial,DialPointer.Pointer,222,100,3,7,51,32,9,9,6,7,,0.310559006,0.7,18
JFreeChart,org.jfree.chart.plot.dial,DialValueIndicator,272,427,11,29,72,116,28,32,21,19,,0.610872675,0.725,60
JFreeChart,org.jfree.chart.plot.dial,DialPointer,38,47,3,5,14,15,9,5,6,4,,0.552941176,0.625,14
JFreeChart,org.jfree.chart.plot.dial,DialBackground,28,114,2,8,9,36,5,13,4,9,,0.802816901,0.8,18
JFreeChart,org.jfree.chart.plot.dial,DialPlot,487,377,53,29,131,105,55,27,25,16,,0.436342593,0.353658537,82
JFreeChart,org.jfree.chart.plot.dial,DialLayerChangeEvent,3,7,0,0,1,3,1,1,1,1,,0.7,#DIV/0!,2
JFreeChart,org.jfree.chart.plot.dial,ArcDialFrame,231,316,3,19,47,80,14,22,11,14,,0.577696527,0.863636364,36
JFreeChart,org.jfree.chart.plot.dial,DialTextAnnotation,85,234,4,14,23,60,13,16,9,11,,0.73354232,0.777777778,29
JFreeChart,org.jfree.chart.plot.dial,DialCap,59,179,2,12,16,51,8,15,6,10,,0.75210084,0.857142857,23
JFreeChart,org.jfree.chart.plot.dial,AbstractDialLayer,24,98,3,7,9,25,6,10,3,8,,0.803278689,0.7,16
JFreeChart,org.jfree.data.resources,DataPackageResources_fr,35,0,0,0,3,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.data.resources,DataPackageResources_es,35,0,0,0,3,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.data.resources,DataPackageResources_de,35,0,0,0,3,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.data.resources,DataPackageResources,0,35,0,0,0,3,0,3,0,3,,1,#DIV/0!,3
JFreeChart,org.jfree.data.resources,DataPackageResources_ru,35,0,0,0,3,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.data.resources,DataPackageResources_pl,35,0,0,0,3,0,3,0,3,0,,0,#DIV/0!,3
JFreeChart,org.jfree.chart.annotations,XYDataImageAnnotation,289,0,26,0,75,0,29,0,16,0,,0,0,29
JFreeChart,org.jfree.chart.annotations,XYTitleAnnotation,126,310,23,21,37,73,28,9,9,6,,0.711009174,0.477272727,37
JFreeChart,org.jfree.chart.annotations,CategoryLineAnnotation,133,252,6,14,31,75,7,22,3,16,,0.654545455,0.7,29
JFreeChart,org.jfree.chart.annotations,XYDrawableAnnotation,136,155,8,14,23,37,7,10,1,5,,0.532646048,0.636363636,17
JFreeChart,org.jfree.chart.annotations,XYBoxAnnotation,49,276,12,18,12,66,14,10,2,7,,0.849230769,0.6,24
JFreeChart,org.jfree.chart.annotations,CategoryPointerAnnotation,263,303,4,20,57,83,12,23,9,14,,0.535335689,0.833333333,35
JFreeChart,org.jfree.chart.annotations,XYTextAnnotation,157,386,11,27,46,114,19,32,13,19,,0.710865562,0.710526316,51
JFreeChart,org.jfree.chart.annotations,CategoryTextAnnotation,96,129,6,10,23,39,5,14,1,10,,0.573333333,0.625,19
JFreeChart,org.jfree.chart.annotations,XYPointerAnnotation,311,300,12,18,67,81,16,22,9,14,,0.490998363,0.6,38
JFreeChart,org.jfree.chart.annotations,XYPolygonAnnotation,213,145,21,13,45,39,20,10,7,6,,0.405027933,0.382352941,30
JFreeChart,org.jfree.chart.annotations,XYImageAnnotation,231,0,22,0,67,0,23,0,12,0,,0,0,23
JFreeChart,org.jfree.chart.annotations,XYLineAnnotation,157,171,14,14,36,44,11,11,2,6,,0.521341463,0.5,22
